Tahun,Kurs IDR/USD,Harga Minyak Dunia (usd per barrel),Inflasi Arab (x/100),Inflasi Indonesia (x/100),BPIH (jt),Bipih (jt)
2010,9010.0,91.38,0.0533941680637454,0.0513420400767928,34.5,30.05
2011,9067.5,98.83,0.0582621608838862,0.053560477898215,39.34,32.04
2012,9637.5,91.82,0.0286626887489915,0.0427949999641975,45.93,37.16
2013,12170.0,98.42,0.0353252470694918,0.0641251330156418,57.11,43.0
2014,12385.0,53.27,0.0223629031536978,0.0639492540819922,59.27,40.03
2015,13787.5,37.04,0.0120607322150109,0.0636312113115612,61.56,37.49
2016,13472.5,53.72,0.0206884036053473,0.035258051568793,60.0,34.6
2017,13567.5,60.42,-0.00838194579675018,0.0380879806953157,61.79,34.89
2018,14380.0,45.41,0.0245814158007532,0.031983464156241,68.96,35.24
2019,13882.5,61.06,-0.0209333333333329,0.0303058664969487,69.16,35.24
2020,14040.0,48.52,0.0344545825956692,0.019209680056685,79.08333333333333,37.093333333333334
2021,14250.0,75.21,0.0306328988941547,0.0156012990525673,89.00666666666667,38.946666666666665
2022,15565.0,80.26,0.024740737192537,0.0420946383402165,98.93,40.8
2023,15395.0,71.65,0.0232708518362692,0.0367013142377007,91.38,46.28
2024,15544.719882430387,69.35927667242161,0.023040915228182433,0.03456315172882017,94.3721277915825,46.39069062564198
2025,15673.50618193731,67.39911824907172,0.022831758626528722,0.03347200208064255,95.0827132403102,46.548182279178214
2026,15796.332357890562,65.7732191563617,0.022819993026984155,0.03178465939724737,92.61825568248636,46.70421010359041
2027,15915.677844933472,64.41828496794294,0.022210229018583633,0.03285908733521175,92.50747359048104,46.858669228191026
2028,16024.856485551125,63.28119582684897,0.022134759428770218,0.03204265265861287,91.51137083142962,47.0916192357348
2029,16129.488203806106,62.32608212351775,0.02179391151084241,0.031002372128411268,92.79559816116745,47.23847999695394
2030,16232.127793062906,61.537216153259564,0.022367517386431814,0.030919208493155586,93.44429287992084,47.38415688888813
2031,16329.515624780428,60.83444742035292,0.02234278537361772,0.030865810262557865,93.59477410287317,47.52905574603297
2032,16420.893196461413,60.301898044823105,0.022445521208753334,0.030980605341872615,93.09523338592061,47.675460707087076
2033,16510.114351821918,59.819594472933986,0.022507103621075098,0.03038956517722916,94.87109082714845,47.825253333875416
2034,16598.445157135677,59.380603754564675,0.021936966586430642,0.03188427108818781,94.45073485391008,47.96793355575311
2035,16680.125122774258,59.08934258171875,0.022064830768276332,0.03135507416847678,94.60442443897698,48.10934121454554
2036,16748.34988516302,58.72387199986212,0.021963022895569246,0.031158734643354384,95.54509847847629,48.25832721905236
2037,16828.50978399336,58.451731271777575,0.022012578130647567,0.030983421977417422,99.90350447436455,48.39462739838446
2038,16900.143743735956,58.24659288812145,0.021924929043477603,0.03076953719124948,98.90237597624575,48.53914301909287
2039,16979.294509625157,57.987560192736794,0.022436055034394005,0.030996534148669184,97.65612615833246,48.670021511672125
2040,17039.51909270826,57.8575349060632,0.022202570513099807,0.031072434651012688,97.20306723017887,48.804125717446155
2041,17099.56231557858,57.7251423018124,0.02208532953023501,0.031113073773208922,96.91521612299333,48.932085232324994
2042,17172.918926970604,57.615108546185446,0.022236458985997565,0.03108045656305259,98.41921711066018,49.06081284966143
2043,17224.09390937511,57.581304347849255,0.022105549907852618,0.030971986305183007,96.27893273980301,49.19327170524253
2044,17276.444092942576,57.4731572925712,0.02206476950119171,0.030800128391946152,97.2037837230765,49.320118968987956
2045,17337.36910873951,57.365127246560995,0.022236052839664205,0.030946659026341587,107.11298004163038,49.44168275991729
2046,17383.869668395884,57.31794170404251,0.02226521262134635,0.03076303422866408,108.12889191259185,49.55884702991417
2047,17426.145630512176,57.291887523309285,0.022147036078500694,0.030627808246011367,102.7658434637692,49.68287510042091
2048,17470.15272564725,57.290146139912785,0.022041726568085562,0.0304764483227141,101.63009381383931,49.79647492627503
2049,17511.940208490418,57.28305611971382,0.022039498408049446,0.030490698826859477,101.01144082130239,49.91663930993973
2050,17552.736145249874,57.29813825476805,0.021988430303971317,0.030404171586613207,100.1050451028605,50.040199274438855
